Key,Translation
settingsPanel:osKeyboardLayout:label:keymap_ukrainian,
settingsPanel:osKeyboardLayout:label:keymap_us,Angielski (US)
settingsPanel:osKeyboardLayout:label:keymap_us_extended,
settingsPanel:osKeyboardLayout:label:keymap_us_international,
settingsPanel:osKeyboardLayout:label:keymap_us_international_linux,
settingsPanel:osKeyboardLayout:label:keymap_workman,
settingsPanel:osKeyboardLayout:label:keymap_workman_zxcvm,
settingsPanel:osKeyboardLayout:title,
settingsPanel:snowflakes:label,
settingsPanel:snowflakes:title,
settingsPanel:title,Ustawienia konfiguratora
settingsPanel:toggleTutorial:help,Przewodnik wideo MechMerlina
settingsPanel:toggleTutorial:label,Przewodnik wideo
testKeys:label,Test klawiatury
testKeys:title,Przetestuj działanie klawiatury
tester:back:label,Wróć
tester:back:title,Wróć do Konfiguratora
tester:chatter:detectedAlert,Wykryto wielokrotną aktywację klawisza!
tester:chatter:label,Próg wykrywalności dla wielokrotnej aktywacji klawisza (w ms)
tester:docs:paragraph,Uwaga: Wykryty Kod i Klawisz mogą się różnić w zależności od ustawionej lokalizacji. Dokumentacja:
tester:keycodeStatus:label,Wykryte kody klawiszy
tester:letters:code:label,kod
tester:letters:key:label,klawisz
tester:letters:keycode:label,kod klawisza
tester:page:label,Tester klawiatury
tester:reset:label,Wyczyść
tester:reset:title,Zresetuj wykryte kody klawiszy
tester:typewritericon:label,
toggleTerminal:label,
toggleTerminal:title,
